estado,plantarse,tirar
"(6, 0)",315.8499213717789,343.48106837978344
"(3, 250)",238.76844772854832,213.21447883847728
"(4, 100)",93.77112181607042,84.7069234158229
"(3, 150)",90.57298900889813,76.31442396076527
"(6, 3000)",2285.169065498091,2544.3890257965277
"(5, 3100)",841.8761590360464,813.6724281769295
"(2, 500)",410.87990129073137,375.1372275463106
"(5, 100)",88.7367080829528,81.6297856660603
"(2, 250)",226.7611229874102,204.20137801744
"(1, 350)",315.3675255019307,292.2743179875254
"(4, 200)",185.72690946260514,168.84880529528658
"(4, 150)",143.73948258045456,129.58895416171535
"(2, 600)",548.2362067851775,494.53373391496575
"(2, 1050)",834.9664670363398,793.9265502026011
"(5, 50)",53.360093064591595,52.04401821202215
"(1, 550)",479.03641069910697,430.73408791741093
"(3, 1000)",872.9106592596504,785.8239439401823
"(2, 350)",309.45504564767583,282.97135468129295
"(3, 400)",357.25628604402317,333.76183433053757
"(6, 650)",600.7836712758785,706.9321513726343
"(4, 800)",206.56102113527618,144.7747394782306
"(6, 600)",649.5161526022717,771.8580872740077
"(3, 800)",171.89952373424265,129.56084323406802
"(1, 1000)",157.13537089806596,95.52819022818531
"(6, 450)",621.426082595253,717.936574958606
"(2, 1500)",252.91054548066597,122.41957890935933
"(3, 600)",537.2465547013965,487.3254260269861
"(2, 400)",339.8388907518216,309.10317398051484
"(3, 200)",197.69093421439067,177.7083889594717
"(2, 300)",285.54483021049407,269.0801468762481
"(6, 1500)",1578.4288983219196,1748.9803324085883
"(3, 1750)",1112.4489289973835,978.7034595495597
"(2, 550)",467.8509762209887,424.2337048141868
"(2, 450)",412.2578134200133,371.756192560261
"(1, 650)",479.47506595024953,442.4636887486166
"(2, 1100)",838.8415499997999,773.5816636106463
"(1, 750)",659.2207681283107,589.7103325775081
"(1, 1100)",907.4454773012158,818.7833670962942
"(4, 3100)",817.1891146726732,629.3584821497531
"(1, 400)",374.1174953636915,337.1285869905702
"(1, 3750)",405.0375,66.52462500000001
"(3, 500)",456.94123585734275,419.32191049799656
"(3, 1700)",1162.5361557163556,1014.0952985480299
"(6, 700)",541.8404065800506,634.8927991458122
"(1, 1400)",189.6490274,53.485677126000006
"(4, 1650)",1090.730023327866,980.5531909211433
"(1, 1850)",483.25600412944584,359.2222458841302
"(2, 650)",567.0613596827449,508.7135578429015
"(1, 450)",408.76338762493873,366.3934579156077
"(4, 3150)",976.9412503062084,875.7672017513489
"(1, 500)",428.05208543857873,393.95274976778944
"(2, 1850)",736.6379120512195,614.9902804191457
"(2, 3400)",99.31043034000001,56.33826603660001
"(2, 700)",604.4574528923649,550.2366222690538
"(1, 600)",479.4544301911778,442.415963563621
"(3, 300)",267.3225369380042,239.7470082208651
"(6, 400)",472.11221081000866,543.4762265924268
"(1, 1750)",0.0,0.0
"(6, 800)",848.3858897622395,1029.068903204833
"(2, 3500)",548.8361737039554,322.2800344032309
"(1, 700)",632.1144149936541,563.4611548740604
"(5, 1550)",1043.3577426569577,907.319841437092
"(3, 2000)",613.3873503271421,493.5974585088514
"(2, 2050)",98.9991621,201.7251621
"(1, 2100)",202.1213095954758,84.54304992081092
"(2, 2150)",620.9049421613655,471.6971306636159
"(3, 1800)",553.5081514821918,432.788479121298
"(6, 1950)",349.67987758669983,527.5795110972358
"(2, 2400)",46.5,247.5
"(1, 2500)",250.0,0.0
"(1, 1900)",587.5337634794724,451.6869241489805
"(1, 300)",253.0100921231321,228.8992505688951
"(1, 2450)",0.0,0.0
"(2, 4050)",192.26033053927057,80.53912290482786
"(1, 1150)",870.295132132868,775.4633056418343
"(4, 1600)",758.8412235939486,684.9685624050393
"(1, 800)",636.5435898865903,571.9491481264777
"(6, 850)",794.9628836260941,903.097481866183
"(3, 1850)",250.60764335000002,70.6775019165
"(6, 2300)",229.21701411326785,442.96428853800734
"(3, 2550)",252.45,22.7205
"(5, 550)",100.08163278947399,68.54646052070139
"(2, 3350)",459.51963785143744,247.32626066399945
"(6, 6000)",27.677642584567504,63.5499100845675
"(5, 2000)",218.0,19.620000000000005
"(5, 1600)",1080.3340581913149,960.1536408553333
"(5, 800)",133.54758321040484,74.26736028958078
"(6, 550)",523.2319592714347,615.3384156724168
"(5, 650)",107.6392876631483,58.08331962306506
"(1, 1300)",183.99965594882173,100.6998856593335
"(6, 1200)",442.73478251618616,602.1563142741525
"(2, 1900)",348.21993141667224,232.10651494605167
"(6, 4500)",1212.5029949724935,1442.68388253618
"(4, 4600)",0.0,0.0
"(3, 1050)",232.45694118971932,185.17288971612487
"(5, 1300)",140.41299999999998,35.21187
"(6, 1900)",132.35237881360902,328.090595813609
"(4, 2000)",198.0,17.820000000000004
"(3, 1600)",226.3042990139344,126.84778066379506
"(1, 2200)",391.4503744118511,258.97076135742867
"(6, 2350)",218.37329383629705,433.100463003747
"(4, 2550)",300.6705,49.574295000000006
"(4, 1700)",935.0060890447081,875.6856111167899
"(6, 1300)",315.4958099807488,492.6303819135146
"(2, 900)",141.3362447037684,85.29576589192068
"(6, 500)",704.1759480205113,793.8014298394223
"(3, 750)",175.55547626049855,138.50901962341982
"(6, 1250)",159.2956951151603,295.27809698031655
"(2, 3600)",145.6036624680145,94.19097787664937
"(1, 3500)",0.0,0.0
"(1, 1500)",201.31343263500003,68.47868330865
"(3, 3300)",503.82730320001076,312.78421549487354
"(4, 950)",187.98249144693102,115.59715975856696
"(1, 1200)",444.7687957251063,362.2276958281522
"(3, 1500)",251.7517158970848,122.50402213661395
"(3, 1900)",509.85533966330206,458.83056622154743
"(5, 700)",93.07680587736999,51.060959518596306
"(3, 3400)",170.42911171567977,68.02595736106295
"(3, 3200)",936.2156894400586,773.2077850816629
